parser_id,framework,attack_category,attacked_sample_count,available_output_count,successful_sample_count,injection_parse_success_rate,avg_recovery_completeness,avg_recovery_completeness_on_success
langchain.opendataloader_hidden_ocg,langchain,Visual Hiding,8,8,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,Geometric Escape,4,4,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,Parsing Order/Multi-view Inconsistency,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,Presentation Layer Encoding,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader_hidden_text,langchain,Visual Hiding,8,8,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,Geometric Escape,4,4,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,Parsing Order/Multi-view Inconsistency,2,2,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,Presentation Layer Encoding,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader_off_page,langchain,Visual Hiding,8,8,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,Geometric Escape,4,4,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,Parsing Order/Multi-view Inconsistency,2,2,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,Presentation Layer Encoding,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader_tiny,langchain,Visual Hiding,8,8,0,0.0,0.0,0.0
langchain.pdfminer,langchain,Geometric Escape,4,4,3,0.75,0.75,1.0
langchain.pdfminer,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
langchain.pdfminer,langchain,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
langchain.pdfminer,langchain,Visual Hiding,8,8,8,1.0,1.0,1.0
langchain.pdfplumber,langchain,Geometric Escape,4,4,3,0.75,0.75,1.0
langchain.pdfplumber,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
langchain.pdfplumber,langchain,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
langchain.pdfplumber,langchain,Visual Hiding,8,8,8,1.0,0.946429,0.946429
langchain.pymupdf,langchain,Geometric Escape,4,4,2,0.5,0.05625,0.1125
langchain.pymupdf,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
langchain.pymupdf,langchain,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
langchain.pymupdf,langchain,Visual Hiding,8,8,8,1.0,1.0,1.0
langchain.pymupdf4llm,langchain,Geometric Escape,4,4,2,0.5,0.05625,0.1125
langchain.pymupdf4llm,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
langchain.pymupdf4llm,langchain,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
langchain.pymupdf4llm,langchain,Visual Hiding,8,8,7,0.875,0.785714,0.897959
langchain.pypdf,langchain,Geometric Escape,4,4,4,1.0,1.0,1.0
langchain.pypdf,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
langchain.pypdf,langchain,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
langchain.pypdf,langchain,Visual Hiding,8,8,8,1.0,1.0,1.0
langchain.pypdfium2,langchain,Geometric Escape,4,4,2,0.5,0.275,0.55
langchain.pypdfium2,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
langchain.pypdfium2,langchain,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
langchain.pypdfium2,langchain,Visual Hiding,8,8,8,1.0,1.0,1.0
langchain.unstructured_fast,langchain,Geometric Escape,4,4,4,1.0,0.785714,0.785714
langchain.unstructured_fast,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
langchain.unstructured_fast,langchain,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
langchain.unstructured_fast,langchain,Visual Hiding,8,8,7,0.875,0.875,1.0
langchain.unstructured_hi_res,langchain,Geometric Escape,4,4,4,1.0,0.785714,0.785714
langchain.unstructured_hi_res,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
langchain.unstructured_hi_res,langchain,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
langchain.unstructured_hi_res,langchain,Visual Hiding,8,8,8,1.0,1.0,1.0
langchain.unstructured_ocr_only,langchain,Geometric Escape,4,4,4,1.0,0.127679,0.127679
langchain.unstructured_ocr_only,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,0.6,0.6
langchain.unstructured_ocr_only,langchain,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
langchain.unstructured_ocr_only,langchain,Visual Hiding,8,8,2,0.25,0.062703,0.205357
llamaindex.docling,llamaindex,Geometric Escape,4,4,2,0.5,0.275,0.55
llamaindex.docling,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
llamaindex.docling,llamaindex,Presentation Layer Encoding,2,2,2,1.0,0.257576,0.257576
llamaindex.docling,llamaindex,Visual Hiding,8,8,7,0.875,0.573255,0.655148
llamaindex.marker,llamaindex,Geometric Escape,4,4,3,0.75,0.75,1.0
llamaindex.marker,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
llamaindex.marker,llamaindex,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
llamaindex.marker,llamaindex,Visual Hiding,8,8,7,0.875,0.875,1.0
llamaindex.nougat,llamaindex,Geometric Escape,4,4,2,0.5,0.05625,0.1125
llamaindex.nougat,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,1,0.5,0.5,1.0
llamaindex.nougat,llamaindex,Presentation Layer Encoding,2,2,1,0.5,0.166666,0.333333
llamaindex.nougat,llamaindex,Visual Hiding,8,8,1,0.125,0.017857,0.142857
llamaindex.paddleocr,llamaindex,Geometric Escape,4,4,3,0.75,0.75,1.0
llamaindex.paddleocr,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,0.2,0.2
llamaindex.paddleocr,llamaindex,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
llamaindex.paddleocr,llamaindex,Visual Hiding,8,8,8,1.0,0.863095,0.863095
llamaindex.pdfloader,llamaindex,Geometric Escape,4,4,4,1.0,1.0,1.0
llamaindex.pdfloader,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
llamaindex.pdfloader,llamaindex,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
llamaindex.pdfloader,llamaindex,Visual Hiding,8,8,8,1.0,1.0,1.0
llamaindex.pdftable,llamaindex,Geometric Escape,4,4,0,0.0,0.0,0.0
llamaindex.pdftable,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,0,0.0,0.0,0.0
llamaindex.pdftable,llamaindex,Presentation Layer Encoding,2,2,1,0.5,0.166666,0.333333
llamaindex.pdftable,llamaindex,Visual Hiding,8,8,0,0.0,0.0,0.0
llamaindex.pymupdf,llamaindex,Geometric Escape,4,4,2,0.5,0.05625,0.1125
llamaindex.pymupdf,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
llamaindex.pymupdf,llamaindex,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
llamaindex.pymupdf,llamaindex,Visual Hiding,8,8,8,1.0,1.0,1.0
llamaindex.smartpdf,llamaindex,Geometric Escape,4,4,3,0.75,0.75,1.0
llamaindex.smartpdf,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
llamaindex.smartpdf,llamaindex,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
llamaindex.smartpdf,llamaindex,Visual Hiding,8,8,8,1.0,1.0,1.0
llamaindex.smartpdf_apply_ocr,llamaindex,Geometric Escape,4,4,1,0.25,0.03125,0.125
llamaindex.smartpdf_apply_ocr,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,1,0.5,0.5,1.0
llamaindex.smartpdf_apply_ocr,llamaindex,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
llamaindex.smartpdf_apply_ocr,llamaindex,Visual Hiding,8,7,1,0.125,0.017857,0.142857
llamaindex.unstructured,llamaindex,Geometric Escape,4,4,4,1.0,0.785714,0.785714
llamaindex.unstructured,llamaindex,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
llamaindex.unstructured,llamaindex,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
llamaindex.unstructured,llamaindex,Visual Hiding,8,8,7,0.875,0.875,1.0
llmsherpa.apply_ocr,llmsherpa,Geometric Escape,4,4,1,0.25,0.03125,0.125
llmsherpa.apply_ocr,llmsherpa,Parsing Order/Multi-view Inconsistency,2,2,1,0.5,0.5,1.0
llmsherpa.apply_ocr,llmsherpa,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
llmsherpa.apply_ocr,llmsherpa,Visual Hiding,8,7,1,0.125,0.017857,0.142857
llmsherpa.default,llmsherpa,Geometric Escape,4,4,3,0.75,0.75,1.0
llmsherpa.default,llmsherpa,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
llmsherpa.default,llmsherpa,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
llmsherpa.default,llmsherpa,Visual Hiding,8,8,8,1.0,1.0,1.0
